사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010100100007,2022년 1월 1일 00시,토요일,전라북도 전주시 덕진구 고랑동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,40세,상해없음,승용,여,60세,중상
2022010100100159,2022년 1월 1일 14시,토요일,전라북도 전주시 덕진구 덕진동1가,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,원동기,남,24세,사망,승용,여,38세,상해없음
2022010100100181,2022년 1월 1일 15시,토요일,전라북도 전주시 완산구 효자동3가,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,64세,상해없음,승용,남,31세,경상
2022010100100182,2022년 1월 1일 15시,토요일,전라북도 전주시 완산구 효자동1가,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,24세,상해없음,승합,남,54세,상해없음
2022010100100365,2022년 1월 1일 21시,토요일,전라북도 전주시 완산구 동서학동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,57세,상해없음,승용,남,51세,경상
2022010200100109,2022년 1월 2일 13시,일요일,전라북도 전주시 덕진구 팔복동3가,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,58세,상해없음,승용,남,37세,경상
2022010200100110,2022년 1월 2일 13시,일요일,전라북도 전주시 덕진구 인후동1가,경상사고,0,0,2,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,81세,상해없음,승용,여,62세,경상
2022010200100141,2022년 1월 2일 14시,일요일,전라북도 전주시 덕진구 덕진동2가,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,47세,상해없음,승용,여,54세,경상
2022010200100335,2022년 1월 2일 20시,일요일,전라북도 전주시 완산구 효자동3가,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,승용,남,46세,경상
2022010300100140,2022년 1월 3일 09시,월요일,전라북도 전주시 덕진구 호성동1가,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,23세,상해없음,승용,남,52세,경상
2022010300100197,2022년 1월 3일 11시,월요일,전라북도 전주시 완산구 효자동2가,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,23세,상해없음,보행자,여,65세,중상
2022010300100265,2022년 1월 3일 13시,월요일,전라북도 전주시 완산구 서신동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,51세,상해없음,승용,남,36세,경상
